INFO 2025-12-15 23:38:22,994 log 23392 20928 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2025-12-15 23:38:22,999 log 23392 9304 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2025-12-15 23:38:23,003 log 23392 15748 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-12-15 23:38:23,006 log 23392 20928 "GET /static/debug_toolbar/js/toolbar.js HTTP/1.1" 304 0
INFO 2025-12-15 23:38:23,006 log 23392 23280 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-12-15 23:38:23,008 log 23392 11804 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-12-15 23:38:23,008 log 23392 9304 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-12-15 23:38:23,037 log 23392 9304 "GET /static/debug_toolbar/css/print.css HTTP/1.1" 304 0
INFO 2025-12-15 23:38:23,039 log 23392 11804 "GET /static/debug_toolbar/js/utils.js HTTP/1.1" 304 0
INFO 2025-12-15 23:39:18,713 autoreload 14400 21700 Watching for file changes with StatReloader
INFO 2025-12-15 23:39:28,491 log 14400 17900 "POST /api/auth/token/ HTTP/1.1" 200 21339
INFO 2025-12-15 23:49:00,288 autoreload 14400 21700 C:\Users\shaho\OneDrive\Desktop\django-api-template\config\settings.py changed, reloading.
INFO 2025-12-15 23:49:01,054 autoreload 9964 10092 Watching for file changes with StatReloader
INFO 2025-12-15 23:49:49,263 log 9964 18824 "GET /__debug__/render_panel/?store_id=ccdad487a9f443edb71a844dc9e31bc9&panel_id=SignalsPanel HTTP/1.1" 200 120
INFO 2025-12-15 23:50:02,427 log 9964 18824 "GET /__debug__/render_panel/?store_id=ccdad487a9f443edb71a844dc9e31bc9&panel_id=RequestPanel HTTP/1.1" 200 120
INFO 2025-12-15 23:50:09,236 log 9964 18824 "POST /api/auth/token/ HTTP/1.1" 200 21338
INFO 2025-12-15 23:50:09,281 log 9964 18824 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2025-12-15 23:50:09,281 log 9964 6024 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2025-12-15 23:50:09,291 log 9964 8544 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2025-12-15 23:50:09,293 log 9964 14744 "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2025-12-15 23:50:09,293 log 9964 18824 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2025-12-15 23:50:09,293 log 9964 6228 "GET /static/debug_toolbar/css/toolbar.css HTTP/1.1" 304 0
INFO 2025-12-15 23:50:09,297 log 9964 6024 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2025-12-15 23:50:09,297 log 9964 24140 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
INFO 2025-12-15 23:50:09,299 log 9964 8544 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2025-12-15 23:50:09,300 log 9964 14744 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2025-12-15 23:50:09,300 log 9964 18824 "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2025-12-15 23:50:09,302 log 9964 6228 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
